Sun Aug 08 23:07:50 2021    output.dat

         5506646 function calls (5503771 primitive calls) in 17.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22805    0.199    0.000    0.530    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\dynamics.py:361(get_x_dot)
    38161    0.198    0.000    0.198    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:814(Cost_v2v)
     3947    0.186    0.000   14.342    0.004 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:707(SafeSteering)
   136830    0.184    0.000    1.396    0.000 C:\Python27\lib\site-packages\numpy\lib\function_base.py:4641(append)
        1    0.160    0.160   17.538   17.538 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:964(Plan_CBF_RRT_strr)
    45610    0.156    0.000    0.204    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\obstacle.py:222(pointFromAngle)
   295559    0.145    0.000    0.145    0.000 C:\Python27\lib\_weakrefset.py:70(__contains__)
     2002    0.123    0.000    0.309    0.000 {method 'query_radius' of 'sklearn.neighbors.ball_tree.BinaryTree' objects}
    22805    0.100    0.000    1.696    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\agent.py:79(add_control)
    68415    0.099    0.000    0.724    0.000 C:\Python27\lib\site-packages\numpy\core\fromnumeric.py:1583(ravel)
   137887    0.093    0.000    0.093    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   103173    0.084    0.000    0.173    0.000 C:\Python27\lib\site-packages\numpy\core\shape_base.py:220(_warn_for_nonsequence)
   162287    0.082    0.000    0.094    0.000 {isinstance}
    26762    0.081    0.000    0.119    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\dynamics.py:553(make_column)
    23810    0.072    0.000    0.151    0.000 C:\Python27\lib\site-packages\numpy\lib\function_base.py:164(flip)
   348369    0.072    0.000    0.072    0.000 {method 'append' of 'list' objects}
     9983    0.065    0.000    0.065    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3947    0.064    0.000    0.310    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\agent.py:14(__init__)
   103173    0.063    0.000    0.088    0.000 C:\Python27\lib\site-packages\numpy\core\shape_base.py:209(_arrays_for_stack_dispatcher)
     1001    0.062    0.000    5.594    0.006 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:758(ChooseParent)
     3947    0.058    0.000    0.068    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\sim_plots.py:226(__init__)
    22805    0.057    0.000    0.114    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\simulation.py:586(make_column)
    75412    0.056    0.000    0.056    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    23810    0.055    0.000    0.067    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:1557(normalize_axis_tuple)
    30699    0.054    0.000    0.054    0.000 {method 'format' of 'str' objects}
     7899    0.048    0.000    0.112    0.000 C:\Python27\lib\site-packages\numpy\core\function_base.py:20(_index_deprecate)
   413224    0.047    0.000    0.047    0.000 {len}
    22805    0.045    0.000    0.056    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\simulation.py:253(goalReached)
     1001    0.044    0.000    3.715    0.004 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:826(Rewire)
     3967    0.043    0.000    0.049    0.000 C:\Python27\lib\site-packages\numpy\lib\twodim_base.py:154(eye)
    49709    0.041    0.000    0.041    0.000 {math.atan2}
      945    0.039    0.000    0.237    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:1367(get_xythetaTraj)
   141247    0.039    0.000    0.039    0.000 {hasattr}
     2002    0.037    0.000    0.160    0.000 C:\Python27\lib\site-packages\sklearn\utils\validation.py:362(check_array)
   170873    0.036    0.000    0.036    0.000 {getattr}
    91522    0.035    0.000    0.035    0.000 {math.cos}
    95227    0.034    0.000    0.034    0.000 {range}
     7898    0.034    0.000    0.034    0.000 {_warnings.warn}
    72514    0.032    0.000    0.032    0.000 {max}
     3947    0.028    0.000    0.167    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\dynamics.py:332(__init__)
     7837    0.028    0.000    0.104    0.000 C:\Python27\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
     2946    0.026    0.000    0.046    0.000 C:\Python27\lib\site-packages\numpy\linalg\linalg.py:2293(norm)
   192336    0.025    0.000    0.025    0.000 {time.clock}
    45610    0.024    0.000    0.024    0.000 {math.hypot}
     3947    0.024    0.000    0.098    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\simulation.py:219(setup_plots)
     3947    0.023    0.000    0.024    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:1431(isAcceptableSample)
     3967    0.023    0.000    0.072    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:2318(identity)
    91522    0.022    0.000    0.022    0.000 {math.sin}
 2752/891    0.021    0.000    0.044    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:897(UpdateCostToCome)
     7907    0.021    0.000    0.021    0.000 {numpy.arange}
    91220    0.017    0.000    0.017    0.000 {math.copysign}
     2012    0.017    0.000    0.017    0.000 {min}
     4213    0.016    0.000    0.025    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\expansionTree.py:83(updateVertex)
     7197    0.016    0.000    0.061    0.000 {method 'any' of 'numpy.generic' objects}
     2002    0.016    0.000    0.047    0.000 C:\Python27\lib\site-packages\sklearn\utils\validation.py:40(_assert_all_finite)
     7947    0.014    0.000    0.014    0.000 {numpy.result_type}
    10438    0.014    0.000    0.014    0.000 C:\Python27\lib\collections.py:59(__setitem__)
     9945    0.014    0.000    0.014    0.000 {method 'astype' of 'numpy.ndarray' objects}
     7525    0.013    0.000    0.115    0.000 C:\Python27\lib\site-packages\numpy\core\fromnumeric.py:2083(any)
     3206    0.010    0.000    0.010    0.000 {numpy.dot}
    46611    0.010    0.000    0.010    0.000 {math.sqrt}
     1002    0.008    0.000    0.031    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\expansionTree.py:34(addVertex)
     9544    0.008    0.000    0.021    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:469(asarray)
     2010    0.008    0.000    0.018    0.000 C:\Python27\lib\_abcoll.py:548(update)
     2002    0.007    0.000    0.012    0.000 {method 'join' of 'str' objects}
    47620    0.007    0.000    0.007    0.000 C:\Python27\lib\site-packages\numpy\lib\index_tricks.py:729(__getitem__)
    31709    0.007    0.000    0.007    0.000 {operator.index}
     1001    0.007    0.000    0.007    0.000 {method 'index' of 'list' objects}
    22859    0.007    0.000    0.007    0.000 {all}
     2002    0.007    0.000    0.019    0.000 C:\Python27\lib\site-packages\sklearn\utils\validation.py:153(_shape_repr)
     2002    0.007    0.000    0.019    0.000 C:\Python27\lib\site-packages\sklearn\utils\validation.py:127(_num_samples)
     7837    0.006    0.000    0.006    0.000 C:\Python27\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
     2202    0.006    0.000    0.012    0.000 C:\Python27\lib\site-packages\numpy\core\shape_base.py:25(atleast_1d)
     7899    0.006    0.000    0.006    0.000 C:\Python27\lib\site-packages\numpy\core\fromnumeric.py:2847(ndim)
     7899    0.006    0.000    0.009    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:2035(isscalar)
     3977    0.005    0.000    0.005    0.000 {numpy.zeros}
     4213    0.005    0.000    0.031    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:942(updateVertex)
     8910    0.005    0.000    0.005    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\params.py:7(__new__)
    23842    0.005    0.000    0.005    0.000 {numpy.core._multiarray_umath.normalize_axis_index}
     3957    0.005    0.000    0.005    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\function.py:5(__init__)
     2026    0.005    0.000    0.005    0.000 C:\Python27\lib\warnings.py:361(__enter__)
     3947    0.005    0.000    0.007    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\simulation.py:47(add_agent)
     7197    0.005    0.000    0.045    0.000 C:\Python27\lib\site-packages\numpy\core\_methods.py:42(_any)
     2006    0.005    0.000    0.005    0.000 {numpy.copyto}
     6006    0.005    0.000    0.005    0.000 C:\Python27\lib\site-packages\sklearn\utils\validation.py:180(<genexpr>)
     4600    0.004    0.000    0.004    0.000 C:\Python27\lib\site-packages\matplotlib\__init__.py:933(__getitem__)
     1001    0.004    0.000    0.011    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:393(UpSampling_andSample)
     1002    0.004    0.000    0.005    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\vertex.py:27(__init__)
     2002    0.004    0.000    0.007    0.000 C:\Python27\lib\warnings.py:96(simplefilter)
     2026    0.004    0.000    0.004    0.000 C:\Python27\lib\warnings.py:340(__init__)
     2002    0.004    0.000    0.010    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:293(full)
     1892    0.004    0.000    0.020    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:951(addChild)
    10141    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     3003    0.003    0.000    0.004    0.000 C:\Python27\lib\random.py:358(uniform)
4722/4046    0.003    0.000    0.005    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:230(stale)
      124    0.003    0.000    0.024    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:290(__init__)
      298    0.003    0.000    0.004    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:87(__init__)
     2026    0.003    0.000    0.003    0.000 {method 'insert' of 'list' objects}
     5916    0.003    0.000    0.003    0.000 {issubclass}
     2002    0.003    0.000    0.004    0.000 C:\Python27\lib\site-packages\sklearn\utils\validation.py:355(_ensure_no_complex_data)
     2010    0.003    0.000    0.026    0.000 {method 'sum' of 'numpy.ndarray' objects}
     3947    0.002    0.000    0.002    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\sim_plots.py:249(get_colors)
     1892    0.002    0.000    0.003    0.000 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\vertex.py:96(addChild)
     2026    0.002    0.000    0.002    0.000 C:\Python27\lib\warnings.py:377(__exit__)
     2002    0.002    0.000    0.003    0.000 C:\Python27\lib\site-packages\sklearn\_config.py:12(get_config)
     2008    0.002    0.000    0.004    0.000 C:\Python27\lib\abc.py:148(__subclasscheck__)
     2946    0.002    0.000    0.003    0.000 C:\Python27\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
     1001    0.002    0.000    0.033    0.000 C:/Users/ahmad/Documents/Graduate_study/Master_Thesis_Project/CBF_toolbox_development_code/CBF-RRTstrr/optimizingCBF_RRTstr.py:947(addVertex)
     2008    0.002    0.000    0.002    0.000 {numpy.empty}
     2010    0.002    0.000    0.024    0.000 C:\Python27\lib\site-packages\numpy\core\_methods.py:34(_sum)
        1    0.002    0.002   17.588   17.588 <string>:1(<module>)
       24    0.002    0.000    0.002    0.000 {nt.stat}
     2002    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\scipy\sparse\base.py:1190(isspmatrix)
     1001    0.001    0.000    0.001    0.000 {math.log}
       24    0.001    0.000    0.001    0.000 {nt._isdir}
       24    0.001    0.000    0.011    0.000 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:2486(handle_single_axis)
      122    0.001    0.000    0.005    0.000 C:\Python27\lib\site-packages\matplotlib\font_manager.py:670(__init__)
     2012    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
  364/310    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:142(_invalidate_internal)
       36    0.001    0.000    0.041    0.001 C:\Python27\lib\site-packages\matplotlib\axis.py:74(__init__)
       44    0.001    0.000    0.004    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:649(recache)
      368    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:169(set_children)
      246    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:854(update)
     1006    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:288(pchanged)
     4722    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:715(get_animated)
       84    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2902(nonsingular)
      364    0.001    0.000    0.005    0.000 C:\Python27\lib\site-packages\matplotlib\markers.py:202(_recache)
      946    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:88(__init__)
      891    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      184    0.001    0.000    0.006    0.000 C:\Python27\lib\site-packages\matplotlib\markers.py:253(set_marker)
      484    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:66(_stale_axes_callback)
     3003    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
      600    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:1767(__init__)
       92    0.001    0.000    0.003    0.000 C:\Python27\lib\site-packages\matplotlib\text.py:129(__init__)
       26    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\markers.py:704(_set_tickleft)
       48    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:2508(within_tol)
      252    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1025(_split_drawstyle_linestyle)
      110    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:771(__init__)
     1174    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\six.py:606(iteritems)
        8    0.000    0.000    0.011    0.001 C:\Python27\lib\site-packages\matplotlib\ticker.py:1905(_raw_ticks)
      172    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2396(__init__)
      128    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1057(set_linestyle)
       88    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:963(update_from)
      304    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:612(set_figure)
      302    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       86    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\font_manager.py:844(set_weight)
       48    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2007(rotate)
      152    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:858(_update_property)
       44    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy\lib\stride_tricks.py:185(_broadcast_shape)
       64    0.000    0.000    0.003    0.000 C:\Python27\lib\site-packages\matplotlib\ticker.py:1879(set_params)
      208    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\font_manager.py:994(_normalize_font_family)
       46    0.000    0.000    0.006    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:650(set_clip_path)
      122    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2069(scale)
        4    0.000    0.000    0.013    0.003 C:\Users\ahmad\Documents\Graduate_study\Master_Thesis_Project\CBF_toolbox_development_code\CBF-RRTstrr\obstacle.py:311(plot_ellipse)
      180    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:1912(__init__)
      124    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1170(set_markerfacecolor)
       54    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\path.py:198(_update_values)
  152/144    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\spines.py:436(get_spine_transform)
      310    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:131(invalidate)
       88    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\cbook\__init__.py:165(__init__)
       64    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\ticker.py:1871(_staircase)
      128    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:989(set_drawstyle)
       12    0.000    0.000    0.011    0.001 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:2451(autoscale_view)
     1818    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:202(axes)
      248    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:303(set_transform)
       44    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\cbook\__init__.py:337(connect)
      114    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\font_manager.py:880(set_size)
       52    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\axis.py:338(_apply_params)
       32    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\ticker.py:1852(_validate_steps)
    60/30    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\units.py:141(get_converter)
      124    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1182(set_markerfacecoloralt)
       56    0.000    0.000    0.003    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1238(update_from)
      184    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2577(composite_transform_factory)
      338    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\cbook\__init__.py:522(iterable)
       48    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\numpy\lib\shape_base.py:599(column_stack)
       32    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy\lib\function_base.py:1149(diff)
      294    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:62(_scale_dashes)
       86    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\font_manager.py:862(set_stretch)
      112    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\colors.py:145(to_rgba)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1381(set_dash_capstyle)
      180    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\markers.py:228(set_fillstyle)
      120    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\text.py:178(update)
       48    0.000    0.000    0.003    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:2431(isclose)
      132    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:715(set_transform)
       38    0.000    0.000    0.004    0.000 C:\Python27\lib\site-packages\matplotlib\patches.py:707(_update_patch_transform)
       44    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\numpy\lib\stride_tricks.py:208(broadcast_arrays)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1395(set_solid_capstyle)
       90    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2055(translate)
       44    0.000    0.000    0.000    0.000 C:\Python27\lib\weakref.py:297(__init__)
       48    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2023(rotate_deg)
       74    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2761(__init__)
       24    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:740(union)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1342(set_dash_joinstyle)
      122    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\text.py:1161(set_text)
      144    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:34(_get_dash_pattern)
       56    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:3052(_validate_converted_limits)
        8    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\cbook\__init__.py:2405(normalize_kwargs)
      148    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1205(set_xdata)
       96    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy\core\numeric.py:2656(seterr)
       18    0.000    0.000    0.020    0.001 C:\Python27\lib\site-packages\matplotlib\axis.py:1787(_get_tick)
      298    0.000    0.000    0.000    0.000 <string>:8(__new__)
      180    0.000    0.000    0.007    0.000 C:\Python27\lib\site-packages\matplotlib\markers.py:169(__init__)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1010(set_linewidth)
       18    0.000    0.000    0.020    0.001 C:\Python27\lib\site-packages\matplotlib\axis.py:2159(_get_tick)
      124    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:632(set_data)
       16    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\patches.py:49(__init__)
       20    0.000    0.000    0.011    0.001 C:\Python27\lib\site-packages\matplotlib\axis.py:844(set_tick_params)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1355(set_solid_joinstyle)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1158(set_markeredgewidth)
       32    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\axis.py:824(reset_ticks)
       54    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\path.py:101(__init__)
     1172    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\cycler.py:349(by_key)
      212    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\cbook\__init__.py:588(is_numlike)
       64    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\numpy\core\shape_base.py:286(hstack)
      124    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:1194(set_markersize)
      140    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\lines.py:619(axes)
   166/90    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:688(get_xaxis_transform)
   166/90    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:768(get_yaxis_transform)
       32    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\ticker.py:501(__init__)
       14    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:3071(set_xlim)
      792    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
      184    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:1281(__add__)
       38    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\matplotlib\transforms.py:2043(rotate_deg_around)
       32    0.000    0.000    0.005    0.000 C:\Python27\lib\site-packages\matplotlib\scale.py:68(set_default_locators_and_formatters)
      374    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\matplotlib\artist.py:210(axes)
       24    0.000    0.000    0.004    0.000 C:\Python27\lib\site-packages\matplotlib\axis.py:801(cla)
        2    0.000    0.000    0.024    0.012 C:\Python27\lib\site-packages\matplotlib\axes\_base.py:1000(cla)
      176    0.000    0.000    0.000    0.000 C:\Python27\lib\re.py:230(_compile)
